"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"Nils Oscar Brown Ale Alkoholfri","Nils Oscar AB","119809","Öl alkoholfri","159233","","","","20x33 cl"
"Cider halvtorr äpple 2,2%","Herrljunga Cider AB","104837","Cider alkoholhaltig","2163","","","","15x57 cl"
"Apelsinjuice koncentrat","Skånemejerier Storhushåll AB","733484","Juice koncentrerad","56200","","","","12x1 l"
"Äpplemust med Päron och Ingefära ENGL","Kullabygdens Musteri AB","109567","Must","2001080","","","","20x25 cl"
"Lingondryck","Orkla Foods Sverige","201566","Måltidsdricka konc, lingon","0880","","","","12x1 l"
"Loka mango päron pet","Spendrups Bryggeri AB","108464","PET","1230640","","","","24x50 cl"
"Grapefrukt juice","Orkla Foods Abba","207862","Juice drickfärdig","340018767","","","","6x1 l"
"Smoothie Kraft","Arla Foods AB","211259","Smoothie","66822","","","","4x30 cl"
"Fuzetea Persika Hibiskus Svart te PET","Coca-cola European Partners Pl","120681","Drickfärdiga drycker, övr smak","7110","","","","12x40 cl"
"Smoothie Energi","Arla Foods AB","211260","Smoothie","66826","","","","4x30 cl"
"Blandsaft jordgubb koncentrat","Kiviks Musteri AB","115199","Måltidsdricka konc, övrig smak","72475","","","","10x1 l"
"Passionfrukt Pure","Brewery Internat Sweden AB","107528","Drinkbaser","112010","","","","12x1 l"
"Thomas Henry Cherry Blossom Tonic","Berntson Brands AB","116429","Engångsförp, drinkvatten","4260310553337","","","","24x20 cl"
"Tomatjuice ENGL","Eckes Granini Sverige AB","159969","Juice drickfärdig: övriga smak","1000575","","","","12x0,5 l"
"Rödbetsjuice KRAV","Midsona Sverige (markatta)","121790","Juice drickfärdig: övriga smak","118131","","","","6x75 cl"
"BCAA Energidryck Svartvinbär Blåbär BRK","Norrmejerier Ek.förening","120630","Sportdrycker","1535","","","","12x33 cl"
"Vatten Kolsyrat","Add Value Sweden AB","114975","PET","170610","","","","20x50 cl"
"Monin Blåbär","Barkonsult AB","762102","Drinkbaser","M28","","","","6x700 ml"
"Ramlösa Fläder Lime PET","Carlsberg Sverige AB","116083","PET","14135","","","","8x150 cl"
"Battery energidryck BRK","Carlsberg Sverige AB","103631","Sportdrycker","22045","","","","24x33 cl"
