"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"Santa Teresa Grand Reserva","Bacardi AB","724665","Rom","3440005","40","Venezuela","Bacardi","6x70 cl"
"Tequila Riazul Añejo","Taste42 Sweden AB","722590","Tequila","RLANEJO","40","Mexico","","6x75 cl"
"Mirafiore Barolo","Enjoy Wine & Spirits AB","713294","Fylligt","7278901","13.5","Italien","Fontanafredda","6x75 cl"
"Topf Riesling Wechselberg","Viva Wine & Spirits Group AB","716416","Torrt","78024010","12.5","Österrike","Johann topf","6x75 cl"
"Stroh Mini 60% 12x2 cl","Hermansson & Co AB","722323","Rom","7844401s","60","Österrike","Sebastian Stroh","1x12x2 cl"
"Bosman Fides Grenache Blanc","Mondo Wine Sweden AB","724340","Torrt","X5303BF0301","14","Sydafrika","","6x75 cl"
"Barra of Mendocino Cabernet Sauvignon","Primewine Sweden AB","722263","Fylligt","2234601K","14","USA","","12x75 cl"
"Santa Carolina Varietal Sauvignon Blanc Piccolo","Viva Wine & Spirits Group AB","702374","Torrt","SC1004","13","Chile","Viña Santa Carolina","24x18,7 cl"
"Grande Cuvée Madame Magnum","Contemporary Wines AB","720902","Frankrike","7489106/3","13","Frankrike","","3x150 cl"
"Markowitsch Rubin Carnuntum Zweigelt","Enjoy Wine & Spirits AB","715181","Medel fylligt","7685001","12.5","Österrike","Gerhard Markowitsch","6x75 cl"
"Mâcon-Lugny Saint-Pierre","Primewine Sweden AB","720641","Torrt","X5226BO0401","12.5","Frankrike","Bouchard Père & Fils","6x75 cl"
"Albert Scoech Alsace","We & Wine AB","718457","Torrt","213501","12","Frankrike","","6x75 cl"
"Grouse Winterres","Edrington Sweden AB","725895","Blended whisky","14030001","40","Storbritannien","","6x70 cl"
"Château d'Esclans Whispering Angel","Wicked Wine Sweden AB","711343","Frankrike","33310015","13.5","Frankrike","Chateau D`Esclans","6x75 cl"
"Tequila Riazul Plata","Taste42 Sweden AB","722593","Tequila","RLPLATA","40","Mexico","","6x75 cl"
"De Grendel Sauvignon Blanc","Enjoy Wine & Spirits AB","721009","Torrt","X50080547301","14","Sydafrika","","6x75 cl"
"Chang-Pang better EKO","Chang-pang AB","722085","Spanien","2001-02","12","Spanien","","6x75 cl"
"Deanston 18YO","Hermansson & Co AB","719426","Maltwhisky","1543901","46.3","Storbritannien","Bunnahabhain","6x70 cl"
"Chinon Les Débonnaires","Enjoy Wine & Spirits AB","720171","Medel fylligt","7120401","13","Frankrike","","12x75 cl"
"Château de Rochemorin Blanc","Bibendum AB","723367","Torrt","1002103","12.5","Frankrike","André Lurton","12x75 cl"
"Saint Clair Pioneer Block 3 Sauvignon Blanc","Sigva AB","719879","Torrt","357701/12","13","Nya Zeeland","Saint Claire Estate Wines","12x75 cl"
"Quinta de Cidrô Boal","Wine & Spirits Collective","725628","Torrt","7988301","13","Portugal","Real Companhia Velha","6x750 ml"
"Caol Ila 15 YO SR18 Abv","Diageo Sweden AB","725611","Whisky","744173","59.1","Storbritannien","","6x70 cl"
"Yarra Valley Estate Chardonnay","Bornicon & Salming AB","716852","Torrt","7160101","13.5","Australien","De Bortoli","6x75 cl"
"Löwenbräu Oktoberfestbier","ABInbev Humulus Sweden","725590","Öl","6448","6.1","Tyskland","","20x50 cl"
"The Singleton Glen Ord 14YO SR18","Diageo Sweden AB","725609","Whisky","744204","57.6","Storbritannien","","6x70 cl"
"Capezzana Mona Nera","Wicked Wine Sweden AB","720475","Medel fylligt","CapMn14","13","Italien","","6x75 cl"
"Bob's Vanilla Bitters","Barkonsult AB","725580","Aperitif - bitter","00903","33.4","Storbritannien","","30x10 cl"
"Bob's Ginger Bitters","Barkonsult AB","725567","Aperitif - bitter","00893","35","Storbritannien","","30x10 cl"
"Svartvinbärsbrännvin EKO","Saturnus AB","725581","Brännvin","34072","32","Sverige","","12x10x5 cl"
"Bob's Abbotts Bitter","Barkonsult AB","725563","Aperitif - bitter","00897","41.8","Storbritannien","","30x10 cl"
"Bob's Chocolate Bitters","Barkonsult AB","725565","Aperitif - bitter","00899","34.9","Storbritannien","","30x10 cl"
"Don Tomas Shiraz","Svenska Vinkompaniet","715938","Medel fylligt","DTS","12.5","Argentina","Bodegas Callia","6x75 cl"
"Bob's Orange & Mandarin Bitters","Barkonsult AB","725578","Aperitif - bitter","00901","34.1","Storbritannien","","30x10 cl"
"H de Hospitalet Sauvignon Blanc","Ward Wines AB","725468","Frankrike","X5478034601","13","Frankrike","","6x75 cl"
"H de Hospitalet Merlot","Ward Wines AB","725460","Frankrike","X5478034501","13","Frankrike","","6x75 cl"
"Allesverloren Tinta Barocca Rosé","Janake Wine Group AB","723816","Torrt","7328001","12.5","Sydafrika","","6x75 cl"
"Edinburgh Elderflower Gin Liqueur","Cask Sweden AB","725518","Gin","8003902","20","Storbritannien","","6x50 cl"
"Öl Sadlers Peaky Blinder Pale Ale","Sabron AB","725395","Vin, Sprit och Starköl","SÖ0025","4.3","Storbritannien","","8x50 cl"
"Solosole","Mondo Wine Sweden AB","725454","Torrt","432301","14.5","Italien","","6x75 cl"
"Öl Sadlers Mud City Stout","Sabron AB","725388","Vin, Sprit och Starköl","SÖ0021","6","Storbritannien","","8x50 cl"
"Öl Sadlers Hop Bomb","Sabron AB","725387","Vin, Sprit och Starköl","SÖ0020","4.7","Storbritannien","","8x50 cl"
"Öl Anarchy AntiVenom","Sabron AB","725378","Vin, Sprit och Starköl","SÖ0023","6","Storbritannien","","24x33 cl"
"Castillo San Simon Tempranillo","Altia Sweden AB","725405","Medel fylligt","1024514","12.5","Spanien","","12x75 cl"
"Carlsberg Unfiltered 4,5% 33cl EG","Carlsberg Sverige AB","725883","Öl","20365","4.5","Sverige","","24x33 cl"
"Gunderloch Riesling GG ""Pettenthal""","Enjoy Wine & Spirits AB","725541","Torrt","7370101","13","Tyskland","","6x75 cl"
"Coma Vella KRAV","Arvid Nordquist Hab","710852","Medel fylligt","45632","15","Spanien","","6x75 cl"
"Öl Anarchy Urban Assault","Sabron AB","725382","Vin, Sprit och Starköl","SÖ0022","5","","","12x50 cl"
"Matusalem Solera 7 yo","Nigab AB","711643","Rom","54101","40","Dominikanska Republiken","Ron Matusalem","12x70 cl"
"Veuve Clicquot Brut","Moet Hennessy Sverige","711134","Torrt","9003439","12","Frankrike","Veuve Clicquot","1x3 l"
"Martell Creation Grand Extra","Pernod Ricard Sweden AB","710087","Vindestillat","1016818","40","Frankrike","Martell","3x70 cl"
"Dream Line Vulcano","Taste42 Sweden AB","722624","Torrt","DLVUO750","8","Spanien","","6x75 cl"
"Paglierina Levi Riserva","Wicked Wine Sweden AB","710387","Pressrestsdestillat","61510100","40","Italien","","6x70 cl"
"Cava Villa Clara","Janake Wine Group AB","706714","Torrt","7735501","13","Spanien","","6x75 cl"
"Massé Brut","Viva Wine & Spirits Group AB","706961","Frankrike","786502","12.5","Frankrike","_","12x37,5 cl"
"Arouz Licorice","W&b Of Sweden AB","708595","Övrig likör","59101","30","Sverige","","12x70 cl"
